the_geom,OBJECTID,NYSStreetID,LeftFromAddress,LeftToAddress,RightFromAddress,RightToAddress,CompleteStreetName,HighwayNumber,Jurisdiction,FCC,ACC,SPEED,LeftPostal,RightPostal,Shape.STLength()
"MULTILINESTRING ((-78.889470322266 42.883285511948, -78.88946554078 42.883285395091, -78.889460852229 42.883284449714, -78.88945639907 42.88328270454, -78.88945231661 42.883280212597, -78.889448728894 42.883277049601, -78.889445744932 42.883273311657, -78.88944345539 42.883269112341, -78.889441929835 42.883264579247, -78.88944121462 42.883259850112, -78.889441331476 42.883255068626, -78.889442276854 42.883250380075, -78.889444022027 42.883245926916, -78.88944651397 42.883241844456, -78.889449676967 42.88323825674, -78.889453414911 42.883235272778, -78.889457614227 42.883232983236, -78.88946214732 42.883231457681, -78.889466876456 42.883230742466, -78.889471657941 42.883230859322, -78.889476346493 42.883231804699, -78.889480799652 42.883233549873, -78.889484882111 42.883236041816, -78.889488469827 42.883239204813, -78.88949145379 42.883242942757, -78.889493743332 42.883247142073, -78.889495268887 42.883251675166, -78.889495984102 42.883256404302, -78.889495867245 42.883261185787, -78.889494921868 42.883265874339, -78.889493176695 42.883270327498, -78.889490684751 42.883274409957, -78.889487521755 42.883277997673, -78.889483783811 42.883280981636, -78.889479584495 42.883283271178, -78.889475051401 42.883284796733, -78.889470322266 42.883285511948))",11957,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.904010123895 42.933667685237, -78.90400534239 42.933667570037, -78.904000653532 42.933666626288, -78.903996199787 42.933664882665, -78.903992116483 42.933662392146, -78.903988527686 42.933659230406, -78.903985542442 42.933655493512, -78.903983251456 42.933651295007, -78.903981724337 42.933646762462, -78.903981007487 42.933642033595, -78.903981122687 42.93363725209, -78.903982066436 42.933632563231, -78.90398381006 42.933628109487, -78.903986300578 42.933624026182, -78.903989462318 42.933620437386, -78.903993199213 42.933617452142, -78.903997397717 42.933615161155, -78.904001930263 42.933613634037, -78.90400665913 42.933612917187, -78.904011440635 42.933613032387, -78.904016129494 42.933613976136, -78.904020583238 42.933615719759, -78.904024666543 42.933618210278, -78.904028255339 42.933621372018, -78.904031240583 42.933625108912, -78.904033531569 42.933629307417, -78.904035058688 42.933633839962, -78.904035775538 42.933638568829, -78.904035660338 42.933643350334, -78.904034716589 42.933648039193, -78.904032972965 42.933652492937, -78.904030482447 42.933656576242, -78.904027320707 42.933660165038, -78.904023583813 42.933663150282, -78.904019385308 42.933665441269, -78.904014852763 42.933666968387, -78.904010123895 42.933667685237))",12025,,,,,,,,,,,,,,19.151148818904929
"MULTILINESTRING ((-78.863608099364 42.898514517779, -78.863027101627 42.900304467608))",8124,477789851,948,1016,949,1017,Michigan Avenue,,12,A41,4,25,14203,14204,204.59892668349755
"MULTILINESTRING ((-78.888094103663 42.88658282742, -78.888183345288 42.886698560183, -78.888207542267 42.886738506027, -78.888205856236 42.886788200915, -78.888177471152 42.886835256465))",9231,600049290,,,,,Unnamed Street,,14,A41,5,25,14202,14202,30.904747431133472
"MULTILINESTRING ((-78.846940150664 42.943920442435, -78.846923110345 42.945050441039))",3944,477777132,14,80,13,79,Wallace Avenue,,12,A41,5,25,14214,14214,125.64303880386431
"MULTILINESTRING ((-78.881946121994 42.879777466519, -78.881784157775 42.879744430422))",9873,477795008,,,,,Wilkeson Way,,12,A41,5,25,14202,14202,13.743434796428867
"MULTILINESTRING ((-78.852186100797 42.918528497723, -78.849573102723 42.918499478015, -78.848090116234 42.918492507817, -78.848012197433 42.918490448934))",5525,477784652,2,108,1,109,Donaldson Road,,12,A41,5,25,14208,14208,341.10223382399141
"MULTILINESTRING ((-78.834835100391 42.854480438624, -78.832228135334 42.854457466951))",11267,477800052,300,398,301,399,Mystic Street,,12,A41,5,25,14220,14220,213.26269176770793
"MULTILINESTRING ((-78.80919309191 42.844288440678, -78.809153131786 42.844257448289))",319,477828489,,,,,Tuscarora Road,,12,A41,5,25,14220,14220,4.749757888444758
"MULTILINESTRING ((-78.862590175287 42.902959486828, -78.86257718417 42.903952497137))",8176,477788564,1100,1130,1101,1127,Michigan Avenue,,12,A41,4,25,14209,14209,110.41030069628466
